ticker,corr_same_vs_next
AAPL,0.8790038055860844
AMT,0.8214443164988915
AMZN,0.8740983945562607
APD,0.8656981067866135
BA,0.891980927598116
BAC,0.8582432920895213
CAT,0.8132362893471434
COST,0.8077719480720089
CVX,0.8513613321939784
DUK,0.8386362957476048
GE,0.8088288731763769
GOOGL,0.7790361218282063
GS,0.8330989316828142
HD,0.8504095461529682
JNJ,0.8370118055705
JPM,0.866294032236868
KO,0.7866152609090902
LIN,0.9342527695679071
MSFT,0.8794829142963022
NEE,0.81949450293384
NFLX,0.8365944493006445
NVDA,0.8510853411385134
PG,0.8705597957955689
PLD,0.8219998278102864
TMO,0.8266533048468707
TSLA,0.8850055875772721
UNH,0.8636985657735804
VLO,0.8396518761669546
XOM,0.8226009359241575
